code,en,no,de,el,es,it,nl,pl,sl
A040N,"Pasta based dishes, cooked",Pastaretter,Nudelgerichte,Πιάτα ζυμαρικών,Platos de pasta,Piatti di pasta,Pastagerechten,Dania z makaronu,Jedi s testeninami
A040Z,"Rice based dishes, cooked",Risretter,Reisgerichte,Πιάτα ρυζιού,Platos de arroz,Piatti di riso,Rijstgerechten,Dania z ryżu,Riževe jedi
A041L,Soups (ready-to-eat),Ferdigsupper,Fertigsuppen,Έτοιμες σούπες,Sopas preparadas,Zuppe pronte,Kant-en-klare soepen,Zupy gotowe,Pripravljene juhe
A041N,Tomato soup,Tomatsuppe,Tomatensuppe,Ντοματόσουπα,Sopa de tomate,Zuppa di pomodoro,Tomatensoep,Zupa pomidorowa,Paradižnikova juha
A041Q,Legume (beans) soup,Bønnesuppe,Bohnensuppe,Φασολάδα,Sopa de legumbres,Zuppa di legumi,Bonensoep,Zupa fasolowa,Fižolova juha
A041S,Mixed vegetables soup,Grønnsakssuppe,Gemüsesuppe,Χορτόσουπα,Sopa de verduras,Minestrone di verdure,Groentesoep,Zupa jarzynowa,Zelenjavna juha
A041T,Meat soup,Kjøttsuppe,Fleischsuppe,Κρεατόσουπα,Sopa de carne,Zuppa di carne,Vleessoep,Zupa mięsna,Mesna juha
A041V,Meat and vegetable soup,Kjøtt- og grønnsakssuppe,Fleisch-Gemüse-Suppe,Σούπα κρέατος και λαχανικών,Sopa de carne y verduras,Zuppa di carne e verdure,Vlees-groentesoep,Zupa mięsno-warzywna,Mesno-zelenjavna juha
A041Y,Cereal products and grains based soup,Kornsuppe,Getreidesuppe,Σούπα με δημητριακά,Sopa de cereales,Zuppa di cereali,Graansoep,Zupa zbożowa,Žitna juha
A042B,Salads,Salater,Salate,Σαλάτες,Ensaladas,Insalate,Salades,Sałatki,Solate
A042D,Mixed vegetable salad,Blandet grønnsakssalat,Gemischter Gemüsesalat,Ανάμεικτη σαλάτα λαχανικών,Ensalada mixta de verduras,Insalata mista di verdure,Gemengde groentesalade,Sałatka warzywna mieszana,Mešana zelenjavna solata
A042F,Greek salad,Gresk salat,Griechischer Salat,Χωριάτικη σαλάτα,Ensalada griega,Insalata greca,Griekse salade,Sałatka grecka,Grška solata
A042H,Prepared pasta salad,Pastasalat,Nudelsalat,Σαλάτα ζυμαρικών,Ensalada de pasta,Insalata di pasta,Pastasalade,Sałatka makaronowa,Solata s testeninami
A042L,Prepared meat salad,Kjøttsalat,Fleischsalat,Σαλάτα κρέατος,Ensalada de carne,Insalata di carne,Vleessalade,Sałatka mięsna,Mesna solata
A042M,Prepared mixed egg/meat/fish/vegetable salad,Blandet salat med egg kjøtt fisk og grønnsaker,Gemischter Salat mit Ei Fleisch Fisch und Gemüse,Ανάμεικτη σαλάτα με αυγό κρέας ψάρι και λαχανικά,Ensalada mixta con huevo carne pescado y verduras,Insalata mista con uova carne pesce e verdure,Gemengde salade met ei vlees vis en groenten,Sałatka mieszana z jajkiem mięsem rybą i warzywami,Mešana solata z jajcem mesom ribo in zelenjavo
A042P,Salt,Salt,Salz,Αλάτι,Sal,Sale,Zout,Sól,Sol
A042Y,Seasoning mixes,Krydderblandinger,Gewürzmischungen,Μείγματα καρυκευμάτων,Mezclas de condimentos,Miscele di spezie,Kruidenmixen,Mieszanki przypraw,Mešanice začimb
A043F,Stock cubes or granulate (bouillon base),Buljongterninger,Brühwürfel,Κύβοι ζωμού,Pastillas de caldo,Dadi da brodo,Bouillonblokjes,Kostki bulionowe,Jušne kocke
A043P,Yeast extract,Gjærekstrakt,Hefeextrakt,Εκχύλισμα μαγιάς,Extracto de levadura,Estratto di lievito,Gistextract,Ekstrakt drożdżowy,Kvasni ekstrakt
A043Q,Gravy ingredients,Sausingredienser,Zutaten für Bratensoße,Υλικά για σάλτσα,Ingredientes para salsa de carne,Ingredienti per sugo di carne,Jusingrediënten,Składniki do sosów pieczeniowych,Sestavine za mesno omako
A043V,Savoury sauces,Salte sauser,Herzhafte Soßen,Αλμυρές σάλτσες,Salsas saladas,Salse salate,Hartige sauzen,Sosy wytrawne,Slane omake
A043Y,Cheese sauce,Ostesaus,Käsesoße,Σάλτσα τυριού,Salsa de queso,Salsa al formaggio,Kaassaus,Sos serowy,Sirova omaka
A043Z,"Continental european brown cooked sauce, gravy",Brun saus,Braune Soße,Καφέ σάλτσα μαγειρεμένη,Salsa española,Salsa bruna,Bruine saus,Sos brązowy,Rjava omaka
A044A,Cream sauce,Fløtesaus,Sahnesoße,Σάλτσα κρέμας,Salsa de nata,Salsa alla panna,Roomsaus,Sos śmietanowy,Smetanova omaka
A044B,Butter sauce,Smørsaus,Buttersoße,Σάλτσα βουτύρου,Salsa de mantequilla,Salsa al burro,Botersaus,Sos maślany,Maslena omaka
A044C,Tomato-containing cooked sauces,Tomatsauser,Tomatensoßen,Σάλτσες με ντομάτα,Salsas con tomate,Salse a base di pomodoro,Tomatensauzen,Sosy pomidorowe,Omake s paradižnikom
A044G,Mustard and related sauces,Sennep og lignende sauser,Senf und ähnliche Soßen,Μουστάρδα και παρόμοιες σάλτσες,Mostaza y salsas similares,Senape e salse simili,Mosterd en soortgelijke sauzen,Musztarda i podobne sosy,Gorčica in podobne omake
A044L,Vinegar,Eddik,Essig,Ξύδι,Vinagre,Aceto,Azijn,Ocet,Kis
A044P,Tomato ketchup and related sauces,Ketchup og lignende sauser,Ketchup und ähnliche Soßen,Κέτσαπ και παρόμοιες σάλτσες,Kétchup y salsas similares,Ketchup e salse simili,Ketchup en soortgelijke sauzen,Keczup i podobne sosy,Kečap in podobne omake
A044R,Soy sauce,Soyasaus,Sojasoße,Σάλτσα σόγιας,Salsa de soja,Salsa di soia,Sojasaus,Sos sojowy,Sojina omaka
A044S,Oyster sauce,Østerssaus,Austernsoße,Σάλτσα στρειδιών,Salsa de ostras,Salsa di ostriche,Oestersaus,Sos ostrygowy,Ostrigina omaka
A044T,Teriyaki sauce,Teriyakisaus,Teriyaki-Soße,Σάλτσα τεριγιάκι,Salsa teriyaki,Salsa teriyaki,Teriyakisaus,Sos teriyaki,Teriyaki omaka
A044V,Pesto,Pesto,Pesto,Πέστο,Pesto,Pesto,Pesto,Pesto,Pesto
A044X,Mayonnaise sauce,Majones,Mayonnaise,Μαγιονέζα,Mayonesa,Maionese,Mayonaise,Majonez,Majoneza
A045A,Aioli or garlic sauce,Aioli og hvitløkssaus,Aioli und Knoblauchsoße,Αϊόλι και σάλτσα σκόρδου,Alioli o salsa de ajo,Aioli o salsa all'aglio,Aioli en knoflooksaus,Aioli i sos czosnkowy,Aioli in česnova omaka
A045B,Barbecue or steak sauces,Grill- og biffsauser,Barbecue- und Steaksoßen,Σάλτσες μπάρμπεκιου,Salsas barbacoa,Salse barbecue,Barbecue- en steaksauzen,Sosy barbecue i do steków,Omake za žar in zrezke
A045E,"Herbs, vegetables and oil sauces",Urte- og grønnsakssauser med olje,Kräuter- und Gemüsesoßen mit Öl,Σάλτσες βοτάνων και λαχανικών με λάδι,Salsas de hierbas y verduras con aceite,Salse di erbe e verdure con olio,Kruiden- en groentesauzen met olie,Sosy ziołowo-warzywne na oleju,Zeliščne in zelenjavne omake z oljem
A045K,Salad dressing,Salatdressing,Salatdressing,Ντρέσινγκ σαλάτας,Aliño de ensalada,Condimento per insalata,Slasaus,Dressing do sałatek,Solatni preliv
A045Q,Chutneys,Chutney,Chutney,Τσάτνεϊ,Chutney,Chutney,Chutney,Chutney,Čatni
A045Y,Pickles,Pickles,Pickles,Πίκλες,Encurtidos,Sottaceti,Zuur,Pikle,Vložene kumarice
A046G,Fruit sauce,Fruktsaus,Fruchtsoße,Σάλτσα φρούτων,Salsa de fruta,Salsa di frutta,Vruchtensaus,Sos owocowy,Sadna omaka
A046H,Chocolate sauce,Sjokoladesaus,Schokoladensoße,Σάλτσα σοκολάτας,Salsa de chocolate,Salsa al cioccolato,Chocoladesaus,Sos czekoladowy,Čokoladna omaka
A046J,Fudge sauce,Karamellsaus,Karamellsoße,Σάλτσα καραμέλας,Salsa de caramelo,Salsa al caramello,Karamelsaus,Sos karmelowy,Karamelna omaka
A047X,Thickener,Fortykningsmiddel,Verdickungsmittel,Πυκνωτικό,Espesante,Addensante,Bindmiddel,Zagęstnik,Zgoščevalec
A048A,Flavour enhancer,Smaksforsterker,Geschmacksverstärker,Ενισχυτικό γεύσης,Potenciador del sabor,Esaltatore di sapidità,Smaakversterker,Wzmacniacz smaku,Ojačevalec okusa
A048Z,Yeast cultures,Gjærkulturer,Hefekulturen,Καλλιέργειες μαγιάς,Cultivos de levadura,Colture di lievito,Gistculturen,Kultury drożdży,Kvasne kulture
A04JJ,Blueberries and similar-,Blåbær og lignende,Heidelbeeren und ähnliche,Μύρτιλα και παρόμοια,Arándanos y similares,Mirtilli e simili,Bosbessen en soortgelijke,Borówki i podobne,Borovnice in podobno
A04JK,Cranberries and similar-,Tranebær og lignende,Preiselbeeren und ähnliche,Κράνμπερι και παρόμοια,Arándanos rojos y similares,Mirtilli rossi e simili,Veenbessen en soortgelijke,Żurawina i podobne,Brusnice in podobno
A04JL,Mulberries (black and white) and similar-,Morbær og lignende,Maulbeeren und ähnliche,Μούρα μουριάς και παρόμοια,Moras de morera y similares,More di gelso e simili,Moerbeien en soortgelijke,Morwy i podobne,Murve in podobno
A04JP,Litchis and similar-,Litchi og lignende,Litschis und ähnliche,Λίτσι και παρόμοια,Lichis y similares,Litchi e simili,Lychees en soortgelijke,Liczi i podobne,Liči in podobno
A04JS,Bananas and similar-,Bananer og lignende,Bananen und ähnliche,Μπανάνες και παρόμοια,Plátanos y similares,Banane e simili,Bananen en soortgelijke,Banany i podobne,Banane in podobno
A04JX,Cassava roots and similar-,Kassava og lignende,Maniok und ähnliche,Κασάβα και παρόμοια,Yuca y similares,Manioca e simili,Cassave en soortgelijke,Maniok i podobne,Kasava in podobno
A04JY,Yams and similar-,Yams og lignende,Yamswurzeln und ähnliche,Γιαμ και παρόμοια,Ñames y similares,Igname e simili,Yams en soortgelijke,Pochrzyn i podobne,Jam in podobno
A04JZ,Horseradishes and similar-,Pepperrot og lignende,Meerrettich und ähnliche,Χρένο και παρόμοια,Rábano picante y similares,Rafano e simili,Mierikswortel en soortgelijke,Chrzan i podobne,Hren in podobno
A04KA,Salsifies and similar-,Havrerot og lignende,Schwarzwurzeln und ähnliche,Λαγόχορτο και παρόμοια,Salsifíes y similares,Scorzonera e simili,Schorseneren en soortgelijke,Salsefia i podobne,Beli koren in podobno
A04KB,Celery leaves and similar-,Selleriblader og lignende,Sellerieblätter und ähnliche,Φύλλα σέλινου και παρόμοια,Hojas de apio y similares,Foglie di sedano e simili,Selderijblad en soortgelijke,Liście selera i podobne,Listi zelene in podobno
A04KH,Buckwheat and other pseudo-cereals and similar-,Bokhvete og andre pseudokorn,Buchweizen und andere Pseudogetreide,Φαγόπυρο και άλλα ψευδοδημητριακά,Trigo sarraceno y otros pseudocereales,Grano saraceno e altri pseudocereali,Boekweit en andere pseudogranen,Gryka i inne pseudozboża,Ajda in druga psevdožita
A04LC,Pasta wholemeal,Fullkornspasta,Vollkornnudeln,Ζυμαρικά ολικής άλεσης,Pasta integral,Pasta integrale,Volkorenpasta,Makaron pełnoziarnisty,Polnozrnate testenine
A04LL,Popped cereals,Pufset korn,Gepufftes Getreide,Διογκωμένα δημητριακά,Cereales inflados,Cereali soffiati,Gepofte granen,Zboża ekspandowane,Napihnjena žita
A04MA,Aromatic herbs,Aromatiske urter,Küchenkräuter,Αρωματικά βότανα,Hierbas aromáticas,Erbe aromatiche,Aromatische kruiden,Zioła aromatyczne,Aromatična zelišča
A04ND,Processed whole meat products,Bearbeidede hele kjøttstykker,Verarbeitete Fleischstücke,Επεξεργασμένα προϊόντα ολόκληρου κρέατος,Productos cárnicos de pieza entera,Prodotti di carne intera lavorata,Bewerkte hele vleesproducten,Przetwory z mięsa w kawałku,Predelani izdelki iz celega mesa
A04PJ,Fats and oils from terrestrial animals,Fett og oljer fra landdyr,Fette und Öle von Landtieren,Λίπη και έλαια χερσαίων ζώων,Grasas y aceites de animales terrestres,Grassi e oli di animali terrestri,Vetten en oliën van landdieren,Tłuszcze i oleje zwierząt lądowych,Maščobe in olja kopenskih živali
A04QG,Unsweetened flavoured spirits,Usøtet smakstilsatt brennevin,Ungesüßte aromatisierte Spirituosen,Αρωματισμένα αποστάγματα χωρίς ζάχαρη,Bebidas espirituosas aromatizadas sin azúcar,Distillati aromatizzati non zuccherati,Ongezoete gearomatiseerde sterkedrank,Napoje spirytusowe aromatyzowane niesłodzone,Nesladkana aromatizirana žgane pijače
A04QY,Cereal flakes and similar,Kornflak og lignende,Getreideflocken und ähnliche,Νιφάδες δημητριακών και παρόμοια,Copos de cereales y similares,Fiocchi di cereali e simili,Graanvlokken en soortgelijke,Płatki zbożowe i podobne,Žitni kosmiči in podobno
A04RA,Kohlrabies and similar-,Knutekål og lignende,Kohlrabi und ähnliche,Γογγυλοκράμβη και παρόμοια,Colinabos y similares,Cavoli rapa e simili,Koolrabi en soortgelijke,Kalarepa i podobne,Kolerabica in podobno
A04RK,Fruit used as fruit,Frukt brukt som frukt,Als Obst verwendete Früchte,Φρούτα ως φρούτα,Frutas consumidas como fruta,Frutta consumata come frutta,Fruit gebruikt als fruit,Owoce spożywane jako owoce,Sadje kot sadje
A04SD,Blended fat and oils,Blandede fett og oljer,Misch-Fette und -Öle,Ανάμεικτα λίπη και έλαια,Grasas y aceites mezclados,Grassi e oli miscelati,Gemengde vetten en oliën,Tłuszcze i oleje mieszane,Mešane maščobe in olja
A06HL,Snacks other than chips and similar,Andre snacks enn chips,Snacks außer Chips,Σνακ εκτός από τσιπς,Aperitivos distintos de las patatas fritas,Snack diversi dalle patatine,Snacks anders dan chips,Przekąski inne niż chipsy,Prigrizki razen čipsa
A0B9J,Soups (dry mixture uncooked),Suppepulver,Trockensuppen,Σούπες σε σκόνη,Sopas deshidratadas,Zuppe in polvere,Soeppoeder,Zupy w proszku,Juhe v prahu
A0BX9,Fruit / vegetable juices and nectars,Frukt- og grønnsaksjuice og nektar,Frucht- und Gemüsesäfte und Nektare,Χυμοί και νέκταρ φρούτων και λαχανικών,Zumos y néctares de frutas y verduras,Succhi e nettari di frutta e verdura,Vruchten- en groentesappen en nectars,Soki i nektary owocowe i warzywne,Sadni in zelenjavni sokovi ter nektarji
A0BY0,Leavened bread and similar,Hevet brød og lignende,Gesäuertes Brot und ähnliche,Ψωμί με ζύμωση και παρόμοια,Pan fermentado y similares,Pane lievitato e simili,Gerezen brood en soortgelijke,Pieczywo na zakwasie i podobne,Vzhajan kruh in podobno
A0BZ5,Canned seafood,Hermetiske skalldyr og bløtdyr,Meeresfrüchtekonserven,Θαλασσινά κονσέρβας,Marisco en conserva,Frutti di mare in scatola,Schaal- en schelpdieren in blik,Owoce morza konserwowe,Konzervirani morski sadeži
A0C0T,Hydrolysed vegetable proteins,Hydrolyserte planteproteiner,Hydrolysierte Pflanzenproteine,Υδρολυμένες φυτικές πρωτεΐνες,Proteínas vegetales hidrolizadas,Proteine vegetali idrolizzate,Gehydrolyseerde plantaardige eiwitten,Hydrolizowane białka roślinne,Hidrolizirane rastlinske beljakovine
A0C0Z,"Maize, milled",Malt mais,Gemahlener Mais,Καλαμπόκι αλεσμένο,Maíz molido,Mais macinato,Gemalen maïs,Kukurydza mielona,Mleta koruza
A0C6A,Coffee ingredients (RPC derivatives),Kaffeingredienser,Kaffeezutaten,Συστατικά καφέ,Ingredientes de café,Ingredienti a base di caffè,Koffie-ingrediënten,Składniki kawowe,Kavne sestavine
A0C6B,Cocoa ingredients (RPC derivatives),Kakaoingredienser,Kakaozutaten,Συστατικά κακάο,Ingredientes de cacao,Ingredienti a base di cacao,Cacao-ingrediënten,Składniki kakaowe,Kakavove sestavine
A0C6P,Chocolate spread,Sjokoladepålegg,Schokoladenaufstrich,Άλειμμα σοκολάτας,Crema de chocolate para untar,Crema di cioccolato spalmabile,Chocoladepasta,Krem czekoladowy do smarowania,Čokoladni namaz
A0C75,Salmons,Laks,Lachs,Σολομός,Salmones,Salmoni,Zalm,Łosoś,Lososi
A0CEN,Savoury pies and tarts,Salte paier og terter,Herzhafte Kuchen und Tartes,Αλμυρές πίτες και τάρτες,Empanadas y tartas saladas,Torte salate,Hartige taarten,Wytrawne tarty i pasztety,Slane pite in tarte
A0CFF,Hazelnuts and similar-,Hasselnøtter og lignende,Haselnüsse und ähnliche,Φουντούκια και παρόμοια,Avellanas y similares,Nocciole e simili,Hazelnoten en soortgelijke,Orzechy laskowe i podobne,Lešniki in podobno
A0CGF,Pumpkin seeds and similar-,Gresskarkjerner og lignende,Kürbiskerne und ähnliche,Σπόροι κολοκύθας και παρόμοια,Pipas de calabaza y similares,Semi di zucca e simili,Pompoenpitten en soortgelijke,Pestki dyni i podobne,Bučna semena in podobno
A0CGX,Ginger roots and similar-,Ingefær og lignende,Ingwer und ähnliche,Τζίντζερ και παρόμοια,Jengibre y similares,Zenzero e simili,Gember en soortgelijke,Imbir i podobne,Ingver in podobno
A0CHT,Crisp bread,Knekkebrød,Knäckebrot,Φρυγανιές,Pan crujiente,Pane croccante,Knäckebröd,Pieczywo chrupkie,Hrustljavi kruhki
A0CJA,Fruit in alcohol or spirits,Frukt i alkohol,Früchte in Alkohol,Φρούτα σε αλκοόλ,Frutas en alcohol,Frutta sotto spirito,Vruchten op alcohol,Owoce w alkoholu,Sadje v alkoholu
A0CSA,Spirits from fruit,Fruktbrennevin,Obstbrände,Αποστάγματα φρούτων,Aguardientes de fruta,Distillati di frutta,Vruchtenbrandewijn,Destylaty owocowe,Sadna žganja
A0CSC,Spirits not from fruit,Brennevin uten frukt,Nicht-Obstbrände,Αποστάγματα μη φρούτων,Aguardientes no frutales,Distillati non di frutta,Niet-vruchtenbrandewijn,Destylaty nieowocowe,Nesadna žganja
A0CSK,Pre-mixes (dry) for baked products,Tørre bakemikser,Trockene Backmischungen,Έτοιμα μείγματα αρτοποιίας,Preparados secos para repostería,Preparati secchi da forno,Droge bakmixen,Suche mieszanki do wypieków,Suhe mešanice za pecivo
A0CSL,Bread pre-mixes (dry),Brødmiks,Brotbackmischungen,Μείγματα ψωμιού,Preparados para pan,Preparati per pane,Broodmix,Mieszanki do chleba,Mešanice za kruh
A0CSM,Cake pre-mixes (dry),Kakemiks,Kuchenbackmischungen,Μείγματα κέικ,Preparados para pasteles,Preparati per torte,Cakemix,Mieszanki do ciast,Mešanice za torte
A0CSN,Pancake pre-mixes (dry),Pannekakemiks,Pfannkuchenmischungen,Μείγματα για τηγανίτες,Preparados para tortitas,Preparati per frittelle,Pannenkoekenmix,Mieszanki do naleśników,Mešanice za palačinke
A0CYA,Cloves buds and similar-,Nellik og lignende,Gewürznelken und ähnliche,Γαρύφαλλα και παρόμοια,Clavo y similares,Chiodi di garofano e simili,Kruidnagels en soortgelijke,Goździki i podobne,Klinčki in podobno
A0CYJ,Tamarind and similar-,Tamarind og lignende,Tamarinde und ähnliche,Ταμαρίνδος και παρόμοια,Tamarindo y similares,Tamarindo e simili,Tamarinde en soortgelijke,Tamaryndowiec i podobne,Tamarinda in podobno
A0CYS,Nutmeg seed and similar-,Muskatnøtt og lignende,Muskatnuss und ähnliche,Μοσχοκάρυδο και παρόμοια,Nuez moscada y similares,Noce moscata e simili,Nootmuskaat en soortgelijke,Gałka muszkatołowa i podobne,Muškatni orešček in podobno
A0CZA,Cumin seed and similar-,Spisskummen og lignende,Kreuzkümmel und ähnliche,Κύμινο και παρόμοια,Comino y similares,Cumino e simili,Komijn en soortgelijke,Kmin rzymski i podobne,Kumina in podobno
A0CZF,Anise seed and similar-,Anis og lignende,Anis und ähnliche,Γλυκάνισο και παρόμοια,Anís y similares,Anice e simili,Anijs en soortgelijke,Anyż i podobne,Janež in podobno
A0D9Y,Barley and similar-,Bygg og lignende,Gerste und ähnliche,Κριθάρι και παρόμοια,Cebada y similares,Orzo e simili,Gerst en soortgelijke,Jęczmień i podobne,Ječmen in podobno
A0DAS,Hemp seeds and similar-,Hampefrø og lignende,Hanfsamen und ähnliche,Σπόροι κάνναβης και παρόμοια,Semillas de cáñamo y similares,Semi di canapa e simili,Hennepzaad en soortgelijke,Nasiona konopi i podobne,Konopljina semena in podobno
A0DBP,Sunflower seeds and similar-,Solsikkefrø og lignende,Sonnenblumenkerne und ähnliche,Ηλιόσποροι και παρόμοια,Pipas de girasol y similares,Semi di girasole e simili,Zonnebloempitten en soortgelijke,Nasiona słonecznika i podobne,Sončnična semena in podobno
A0DBQ,Sesame seeds and similar-,Sesamfrø og lignende,Sesamsamen und ähnliche,Σουσάμι και παρόμοια,Semillas de sésamo y similares,Semi di sesamo e simili,Sesamzaad en soortgelijke,Nasiona sezamu i podobne,Sezamova semena in podobno
A0DBR,Poppy seeds and similar-,Valmuefrø og lignende,Mohnsamen und ähnliche,Σπόροι παπαρούνας και παρόμοια,Semillas de amapola y similares,Semi di papavero e simili,Maanzaad en soortgelijke,Mak i podobne,Makova semena in podobno
A0DBS,Peanuts and similar-,Peanøtter og lignende,Erdnüsse und ähnliche,Αράπικα φιστίκια και παρόμοια,Cacahuetes y similares,Arachidi e simili,Pinda's en soortgelijke,Orzechy arachidowe i podobne,Arašidi in podobno
A0DBT,Linseeds and similar-,Linfrø og lignende,Leinsamen und ähnliche,Λιναρόσπορος και παρόμοια,Semillas de lino y similares,Semi di lino e simili,Lijnzaad en soortgelijke,Siemię lniane i podobne,Laneno seme in podobno
A0DCA,Lupins (dry) and similar-,Tørkede lupiner og lignende,Getrocknete Lupinen und ähnliche,Λούπινα ξηρά και παρόμοια,Altramuces secos y similares,Lupini secchi e simili,Gedroogde lupine en soortgelijke,Łubin suchy i podobne,Suhi volčji bob in podobno
A0DCD,Peas (dry) and similar-,Tørkede erter og lignende,Getrocknete Erbsen und ähnliche,Αρακάς ξηρός και παρόμοια,Guisantes secos y similares,Piselli secchi e simili,Gedroogde erwten en soortgelijke,Groch suchy i podobne,Suh grah in podobno
A0DCE,Lentils (dry) and similar-,Tørkede linser og lignende,Getrocknete Linsen und ähnliche,Φακές ξηρές και παρόμοια,Lentejas secas y similares,Lenticchie secche e simili,Gedroogde linzen en soortgelijke,Soczewica sucha i podobne,Suha leča in podobno
A0DEG,Rhubarbs and similar-,Rabarbra og lignende,Rhabarber und ähnliche,Ραβέντι και παρόμοια,Ruibarbo y similares,Rabarbaro e simili,Rabarber en soortgelijke,Rabarbar i podobne,Rabarbara in podobno
A0DEH,Leeks and similar-,Purre og lignende,Lauch und ähnliche,Πράσα και παρόμοια,Puerros y similares,Porri e simili,Prei en soortgelijke,Pory i podobne,Por in podobno
A0DEN,Globe artichokes and similar-,Artisjokk og lignende,Artischocken und ähnliche,Αγκινάρες και παρόμοια,Alcachofas y similares,Carciofi e simili,Artisjokken en soortgelijke,Karczochy i podobne,Artičoke in podobno
A0DEP,Florence fennels and similar-,Fennikel og lignende,Fenchel und ähnliche,Μάραθο και παρόμοια,Hinojos y similares,Finocchi e simili,Venkel en soortgelijke,Koper włoski i podobne,Koromač in podobno
A0DEQ,Celeries and similar-,Stangselleri og lignende,Stangensellerie und ähnliche,Σέλινο και παρόμοια,Apios y similares,Sedani e simili,Bleekselderij en soortgelijke,Selery naciowe i podobne,Zelena in podobno
A0DEV,Asparagus and similar-,Asparges og lignende,Spargel und ähnliche,Σπαράγγια και παρόμοια,Espárragos y similares,Asparagi e simili,Asperges en soortgelijke,Szparagi i podobne,Šparglji in podobno
A0DHZ,Parsley and similar-,Persille og lignende,Petersilie und ähnliche,Μαϊντανός και παρόμοια,Perejil y similares,Prezzemolo e simili,Peterselie en soortgelijke,Pietruszka i podobne,Peteršilj in podobno
A0DJJ,Chervil and similar-,Kjørvel og lignende,Kerbel und ähnliche,Σκαντζίκι και παρόμοια,Perifollo y similares,Cerfoglio e simili,Kervel en soortgelijke,Trybula i podobne,Krebuljica in podobno
A0DJL,Witloofs and similar-,Sikorisalat og lignende,Chicorée und ähnliche,Ραδίκι μπελζίκ και παρόμοια,Endibias y similares,Indivia belga e simili,Witlof en soortgelijke,Cykoria i podobne,Radič vitlof in podobno
A0DJT,Chards and similar-,Mangold og lignende,Mangold und ähnliche,Σέσκουλα και παρόμοια,Acelgas y similares,Bietole e simili,Snijbiet en soortgelijke,Boćwina i podobne,Blitva in podobno
A0DLB,Lettuces and similar-,Salat og lignende,Kopfsalat und ähnliche,Μαρούλια και παρόμοια,Lechugas y similares,Lattughe e simili,Sla en soortgelijke,Sałaty i podobne,Solate in podobno
A0DLC,Lamb's lettuces and similar-,Vårsalat og lignende,Feldsalat und ähnliche,Βαλεριάνα και παρόμοια,Canónigos y similares,Valerianella e simili,Veldsla en soortgelijke,Roszponka i podobne,Motovilec in podobno
A0DLG,Brussels sprouts and similar-,Rosenkål og lignende,Rosenkohl und ähnliche,Λαχανάκια Βρυξελλών και παρόμοια,Coles de Bruselas y similares,Cavolini di Bruxelles e simili,Spruitjes en soortgelijke,Brukselka i podobne,Brstični ohrovt in podobno
A0DLL,Cauliflowers and similar-,Blomkål og lignende,Blumenkohl und ähnliche,Κουνουπίδι και παρόμοια,Coliflores y similares,Cavolfiori e simili,Bloemkool en soortgelijke,Kalafior i podobne,Cvetača in podobno
A0DLP,Sweet corn and similar-,Sukkermais og lignende,Zuckermais und ähnliche,Γλυκό καλαμπόκι και παρόμοια,Maíz dulce y similares,Mais dolce e simili,Suikermaïs en soortgelijke,Kukurydza cukrowa i podobne,Sladka koruza in podobno
A0DLQ,Watermelons and similar-,Vannmelon og lignende,Wassermelonen und ähnliche,Καρπούζι και παρόμοια,Sandías y similares,Angurie e simili,Watermeloenen en soortgelijke,Arbuzy i podobne,Lubenice in podobno
A0DLV,Pumpkins and similar-,Gresskar og lignende,Kürbisse und ähnliche,Κολοκύθες και παρόμοια,Calabazas y similares,Zucche e simili,Pompoenen en soortgelijke,Dynie i podobne,Buče in podobno
A0DMB,Cucumbers and similar-,Agurker og lignende,Gurken und ähnliche,Αγγούρια και παρόμοια,Pepinos y similares,Cetrioli e simili,Komkommers en soortgelijke,Ogórki i podobne,Kumare in podobno
A0DMC,Okra and similar-,Okra og lignende,Okra und ähnliche,Μπάμιες και παρόμοια,Okras y similares,Okra e simili,Okra en soortgelijke,Okra i podobne,Bamija in podobno
A0DNG,Turnips and similar-,Nepe og lignende,Speiserüben und ähnliche,Γογγύλια και παρόμοια,Nabos y similares,Rape e simili,Rapen en soortgelijke,Rzepa i podobne,Repa in podobno
A0DNH,Swedes and similar-,Kålrot og lignende,Kohlrüben und ähnliche,Γογγύλι σουηδικό και παρόμοια,Colinabos suecos y similares,Rutabaga e simili,Koolraap en soortgelijke,Brukiew i podobne,Koleraba in podobno
A0DNS,Parsnips and similar-,Pastinakk og lignende,Pastinaken und ähnliche,Παστινάκη και παρόμοια,Chirivías y similares,Pastinache e simili,Pastinaak en soortgelijke,Pasternak i podobne,Pastinak in podobno
A0DNV,Jerusalem artichokes and similar-,Jordskokk og lignende,Topinambur und ähnliche,Κολοκάσι Ιερουσαλήμ και παρόμοια,Aguaturmas y similares,Topinambur e simili,Aardpeer en soortgelijke,Topinambur i podobne,Topinambur in podobno
A0DNY,Celeriacs and similar-,Knollselleri og lignende,Knollensellerie und ähnliche,Σελινόριζα και παρόμοια,Apionabos y similares,Sedano rapa e simili,Knolselderij en soortgelijke,Seler korzeniowy i podobne,Gomoljna zelena in podobno
A0DPB,Carrots and similar-,Gulrøtter og lignende,Karotten und ähnliche,Καρότα και παρόμοια,Zanahorias y similares,Carote e simili,Wortelen en soortgelijke,Marchew i podobne,Korenje in podobno
